Starting CAN Translator
dict {}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126406.5960243}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126406.8131769}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.0140357, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.2133062, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126410.4235246, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126412.3986115, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23600, 'c4': 12408}
dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126425.6144357, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23603, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126425.7131748, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23607, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126425.9152322, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23607, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.0174422, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23607, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.1150756, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23650, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.3150163, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23650, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.4137242, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23650, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.6155694, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23650, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.8129547, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23602, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126426.9149318, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23602, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.0168326, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.1141605, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23604, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.2130795, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23601, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.7165515, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23601, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.815847, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23607, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126427.9126115, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23607, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126428.012932, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23609, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126428.312808, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23609, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126428.4691656, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23652, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126428.5943356, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12408, 'c3': 23654, 'c4': 12408}

dict {'a1': -127, 'a2': -127, 'a3': -127, 'a4': -127, 'a5': -126, 'a6': -126, 'a7': -127, 'a8': -127, 'a9': -127, 'a10': -127, 'Timestamp': 1694126428.7157185, 'b1': 48, 'b2': 92, 'b3': 120, 'b4': 48, 'c1': 23600, 'c2': 12664, 'c3': 23600, 'c4': 12408}

